datetime_et,open,high,low,close,volume,vwap,transactions,ret_log,rv_5m
2024-03-11 10:53:00-04:00,510.0,510.14,509.9,510.085,111571,510.0173,1405,0.0001862608146945277,0.00023227112110195408
2024-03-11 10:54:00-04:00,510.09,510.45,510.06,510.4297,168490,510.3046,1961,0.0006755414951076233,0.00032335030646446505
2024-03-11 10:55:00-04:00,510.43,510.73,510.425,510.5406,211330,510.6027,2429,0.00021724432226122303,0.0003197048152065563
2024-03-11 10:56:00-04:00,510.54,510.57,510.3101,510.3901,158605,510.4583,1724,-0.00029482902432054203,0.00037969278155896517
2024-03-11 10:57:00-04:00,510.4,510.52,510.35,510.5099,188733,510.4584,1764,0.0002346948781459801,0.0003437345657943734
2024-03-11 10:58:00-04:00,510.505,510.6,510.45,510.53,100118,510.5311,1212,3.937162495315505e-05,0.0003517891576013334
2024-03-11 10:59:00-04:00,510.54,510.62,510.36,510.59,117695,510.4888,1500,0.00011751801956538799,0.0002149664899876838
2024-03-11 11:00:00-04:00,510.59,510.66,510.41,510.64,154775,510.5426,1675,9.792113439655026e-05,0.00019960911770147845
2024-03-11 11:01:00-04:00,510.64,510.78,510.53,510.58,138673,510.6484,1687,-0.00011750651195452377,0.0001286098282822936
2024-03-11 11:02:00-04:00,510.59,510.67,510.52,510.5908,109483,510.6126,1522,2.1152191191475822e-05,9.244277155817951e-05
2024-03-11 11:03:00-04:00,510.5905,510.61,510.47,510.535,167641,510.5288,1934,-0.00010929113740054675,0.00011133238348165417
2024-03-11 11:04:00-04:00,510.54,510.83,510.52,510.66,95132,510.6948,1329,0.0002448112272865899,0.00015162640766204163
2024-03-11 11:05:00-04:00,510.65,510.87,510.65,510.74,99416,510.7486,1326,0.00015664773871826299,0.0001604697894766459
2024-03-11 11:06:00-04:00,510.74,510.75,510.64,510.7,97728,510.7074,1140,-7.832080204472902e-05,0.00015161813918676214
2024-03-11 11:07:00-04:00,510.705,510.71,510.31,510.39,125885,510.4776,1424,-0.0006071942914420703,0.00033177185127737863
